Merilno mesto,GSRN MM,Časovna značka,Leto,Mesec,Energija A+,Energija A-,Energija R+,Energija R-,P+ Prejeta delovna moč,P- Oddana delovna moč,Q+ Prejeta jalova moč,Q- Oddana jalova moč,Blok,Dogovorjena moč,Status odčitka A+,Status odčitka A-,Status odčitka R+,Status odčitka R-,Obračunski podatek
3-5389,383111580014962888,2. 1. 2023 12:00:00,2023,1,13.0000,0.0000,3.0000,0.0000,52.0000,0.0000,12.0000,0.0000,2,,,,,,Ne
3-5389,383111580014962888,2. 1. 2023 12:15:00,2023,1,14.0000,0.0000,3.0000,0.2500,56.0000,0.0000,12.0000,1.0000,2,,,,,,Ne
3-5389,383111580014962888,2. 1. 2023 12:30:00,2023,1,13.5000,0.0000,3.0000,0.0000,54.0000,0.0000,12.0000,0.0000,2,,,,,,Ne
3-5389,383111580014962888,2. 1. 2023 12:45:00,2023,1,12.2500,0.0000,3.2500,0.0000,49.0000,0.0000,13.0000,0.0000,2,,,,,,Ne
3-5389,383111580014962888,2. 1. 2023 13:00:00,2023,1,13.5000,0.0000,2.5000,0.0000,54.0000,0.0000,10.0000,0.0000,2,,,,,,Ne
3-5389,383111580014962888,2. 1. 2023 13:15:00,2023,1,12.7500,0.0000,2.5000,0.0000,51.0000,0.0000,10.0000,0.0000,2,,,,,,Ne
3-5389,383111580014962888,2. 1. 2023 13:30:00,2023,1,12.5000,0.0000,3.2500,0.0000,50.0000,0.0000,13.0000,0.0000,2,,,,,,Ne
3-5389,383111580014962888,2. 1. 2023 13:45:00,2023,1,13.5000,0.0000,2.5000,0.0000,54.0000,0.0000,10.0000,0.0000,2,,,,,,Ne
3-5389,383111580014962888,2. 1. 2023 14:00:00,2023,1,12.0000,0.0000,3.2500,0.0000,48.0000,0.0000,13.0000,0.0000,2,,,,,,Ne
3-5389,383111580014962888,2. 1. 2023 14:15:00,2023,1,11.7500,0.0000,2.2500,0.0000,47.0000,0.0000,9.0000,0.0000,3,,,,,,Ne
3-5389,383111580014962888,2. 1. 2023 14:30:00,2023,1,11.5000,0.0000,3.0000,0.0000,46.0000,0.0000,12.0000,0.0000,3,,,,,,Ne
3-5389,383111580014962888,2. 1. 2023 14:45:00,2023,1,11.0000,0.0000,2.7500,0.0000,44.0000,0.0000,11.0000,0.0000,3,,,,,,Ne
3-5389,383111580014962888,2. 1. 2023 15:00:00,2023,1,13.5000,0.0000,3.0000,0.0000,54.0000,0.0000,12.0000,0.0000,3,,,,,,Ne
3-5389,383111580014962888,2. 1. 2023 15:15:00,2023,1,11.2500,0.0000,3.0000,0.0000,45.0000,0.0000,12.0000,0.0000,3,,,,,,Ne
3-5389,383111580014962888,2. 1. 2023 15:30:00,2023,1,11.0000,0.0000,3.0000,0.0000,44.0000,0.0000,12.0000,0.0000,3,,,,,,Ne
3-5389,383111580014962888,2. 1. 2023 15:45:00,2023,1,11.2500,0.0000,2.5000,0.0000,45.0000,0.0000,10.0000,0.0000,3,,,,,,Ne
